resource_id,type,network_address,state,next_state,finaud_decision,next_finaud_decision,state_num,suspended_jobs,scheduler_priority,cpuset,besteffort,deploy,expiry_date,desktop_computing,last_job_date,available_upto,last_available_upto,drain,gpumodel,core,cpu,gpu,gpudevice,host,ip,fall,devel,mig,migdevice,total_mem,cpumodel,n_cpus,n_cores,n_gpus,mem_per_gpu,cpubrand,scratch1_loc,scratch1
429,default,bigfoot11,Alive,UnChanged,YES,NO,1,NO,0,60,YES,NO,0,NO,1651485802,2147483647,0,NO,A100,363,45,139,1,bigfoot11,129.88.198.151,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,382
135,default,bigfoot9,Alive,UnChanged,NO,NO,1,NO,0,30,YES,NO,0,NO,1651334835,2147483647,2147483647,NO,A100,71,3,5,0,bigfoot9,129.88.198.149,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,382
540,default,bigfoot1,Alive,UnChanged,YES,NO,1,NO,0,6,YES,NO,0,NO,1651400895,2147483647,0,NO,V100,474,50,146,0,bigfoot1,129.88.197.51,NO,NO,NO,,192,Gold 6130,2,32,4,96,intel,/var/tmp,175
446,default,bigfoot12,Alive,UnChanged,YES,NO,1,NO,0,13,YES,NO,0,NO,1651494018,2147483647,0,NO,A100,380,46,140,0,bigfoot12,129.88.198.152,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,383
550,default,bigfoot1,Alive,UnChanged,YES,NO,1,NO,0,26,YES,NO,0,NO,1651400849,2147483647,0,NO,V100,484,50,147,1,bigfoot1,129.88.197.51,NO,NO,NO,,192,Gold 6130,2,32,4,96,intel,/var/tmp,175
470,default,bigfoot12,Alive,UnChanged,YES,NO,1,NO,0,37,YES,NO,0,NO,1651494018,2147483647,0,NO,A100,404,47,141,1,bigfoot12,129.88.198.152,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,383
539,default,bigfoot1,Alive,UnChanged,YES,NO,1,NO,0,4,YES,NO,0,NO,1651400895,2147483647,0,NO,V100,473,50,146,0,bigfoot1,129.88.197.51,NO,NO,NO,,192,Gold 6130,2,32,4,96,intel,/var/tmp,175
570,default,bigfoot2,Alive,UnChanged,YES,NO,1,NO,0,2,YES,NO,0,NO,1651399870,2147483647,0,NO,V100,504,52,150,0,bigfoot2,129.88.197.52,NO,NO,NO,,192,Gold 6130,2,32,4,96,intel,/var/tmp,175
477,default,bigfoot12,Alive,UnChanged,YES,NO,1,NO,0,44,YES,NO,0,NO,1651494018,2147483647,0,NO,A100,411,47,141,1,bigfoot12,129.88.198.152,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,383
306,default,bigfoot7,Alive,UnChanged,YES,NO,1,NO,0,1,YES,NO,0,NO,1651234664,2147483647,0,NO,A100,240,42,136,0,bigfoot7,129.88.198.145,NO,YES,YES,7,192,EPYC 7452,2,64,2,96,amd,/var/tmp,417
9,default,bigfoot8,Alive,UnChanged,NO,NO,1,NO,0,38,YES,NO,0,NO,1651410208,2147483647,0,NO,V100,9,1,1,0,bigfoot8,129.88.198.148,NO,NO,NO,,192,Gold 5218R,2,40,4,48,intel,/var/tmp,383
318,default,bigfoot7,Alive,UnChanged,YES,NO,1,NO,0,13,YES,NO,0,NO,1651234664,2147483647,0,NO,A100,252,42,136,0,bigfoot7,129.88.198.145,NO,YES,YES,10,192,EPYC 7452,2,64,2,96,amd,/var/tmp,417
